Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C20, C21, C24, C28, C30, C43, C45, C48, C49, C58, C59, C64, C65",0603,14,2.2µF,
"C10, C11, C12, C5, C6, C7, C8, C9",C_Elec_10x10.2,8,470uF,
"C13, C22",0603,2,10pF,
"C14, C15, C16, C17, C18, C19, C32, C33, C34, C35, C36, C37, C51, C52, C53, C54, C60, C61",0603,18,0.1uF,
"C2, C3, C31, C38, C4, C41, C50, C57",0805,8,4.7uF,
"C23, C25, C39, C40, C44, C46, C55, C56, C62, C63",0603,10,2200pF,
"C26, C47",0603,2,0.022µF,
C27,0603,1,82pF,
C29,0603,1,270pF,
C42,CP_EIA-6032-28_Kemet-C,1,68uF,C122319
"C66, C67, C68, C69, C70, C71",0402,6,22nF,
"D1, D2",D_SOD-123F,2,D,C43381
D3,0603,1,LTST-C190KGKT,C125094
"J1, J7",TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal,2,Screw_Terminal_01x02,
J2,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,
J4,PinSocket_1x12_P2.54mm_Vertical,1,Conn_01x12_Socket,
J5,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05_Socket,
J6,PinSocket_1x18_P2.54mm_Vertical,1,Conn_01x18_Socket,
"J8, J9",TerminalBlock_MetzConnect_Type011_RT05503HBWC_1x03_P5.00mm_Horizontal,2,Screw_Terminal_01x03,
L1,L_Taiyo-Yuden_NR-60xx,1,22uH,
PS1,R_Array_SIP4,1,B0505S-1WR3,
"Q1, Q10, Q12, Q13, Q14, Q16, Q17, Q18, Q2, Q20, Q21, Q22, Q24, Q26, Q27, Q28, Q3, Q4, Q5, Q6, Q8, Q9",ONSemi_SO-8FL_488AA,22,,C145537
"Q11, Q15, Q19, Q23, Q25, Q7",ONSemi_SO-8FL_488AA,6,,C145537
"R1, R55",0603,2,1k,
"R10, R11, R15, R16, R32, R33",0603,6,22R,
R13,0603,1,5.1k,
"R14, R18",0603,2,47K,
"R17, R34, R54, R8",0603,4,18k,C21189
R19,0603,1,220k,
"R2, R26, R3, R4, R42, R5, R53, R6, R7, R9",0603,10,3.3k,
"R20, R21, R35, R36, R49, R50, R56",0603,7,120R,
"R22, R23, R24, R25, R29, R30, R37, R38, R39, R40, R44, R45, R47, R48",0603,14,2.2R,
"R27, R41, R52",0402,3,10k,
"R28, R31, R43, R46, R51",2512,5,500uOhm,C500733
"TP1, TP2, TP3, TP4, TP5, TP6, TP7",TestPoint_Pad_1.0x1.0mm,7,TESTPOINT,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,
U3,SOT-23-5,1,LP5907MFX-3.3_NOPB,
U4,SOT-223,1,LDL1117S33R,C435835
"U5, U6",HTSSOP-56-1EP_6.1x14mm_P0.5mm_EP3.61x6.35mm,2,~,C98969
U7,WSON-8-1EP_4x4mm_P0.8mm_EP2.6x3mm,1,~,C544701
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,~,C495342
U9,SOP-8_6.62x9.15mm_P2.54mm,1,ISO1050DUB,C16428
Y1,Crystal_SMD_5032-4Pin_5.0x3.2mm,1,ABM3B-8.000MHZ-10-1-U-T,C1985378
