Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C18, C24, C25, C3",603,6,2200pF,
"C10, C11, C12, C13, C14, C15, C21, C23, C30, C31, C32, C33, C34, C50",603,14,0.1uF,
"C16, C19, C26, C27, C28, C9",805,6,4.7uF,C2897302
"C2, C22, C29, C52, C53, C54, C6, C8",603,8,2.2uF,C2859193
C20,CP_EIA-6032-28_Kemet-C,1,68uF,C122319
"C35, C36, C37, C38, C39, C40, C41, C42",C_Elec_10x10.2,8,,
C4,603,1,0.022uF,
"C43, C44, C45",402,3,22nF,
C46,402,1,10uF,
"C47, C48",402,2,4.7uF,
"C49, C51",603,2,10pF,
C5,603,1,82pF,
C55,603,1,1uF,
C56,1210,1,2.2uF,C840133
C57,2225,1,22uf,C882503
C58,402,1,270pF,
C7,603,1,270pF,
"D1, D2",D_SOD-123F,2,MBR140SFT1G,C43381
D3,603,1,LTST-C190KGKT,C125094
J1,TerminalBlock_MetzConnect_Type011_RT05503HBWC_1x03_P5.00mm_Horizontal,1,Screw_Terminal_01x03,
J2,PinSocket_1x05_P2.54mm_Vertical,1,Conn_01x05_Socket,C2935899
"J3, J4",TerminalBlock_MetzConnect_Type011_RT05502HBWC_1x02_P5.00mm_Horizontal,2,Screw_Terminal_01x02,
J5,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,
J6,PinSocket_1x16_P2.54mm_Vertical,1,Conn_01x16_Socket,C66987
J8,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06_Socket,C40877
L1,L_Taiyo-Yuden_NR-60xx,1,22uH,
L2,805,1,6.8uH,
PS1,R_Array_SIP4,1,B0505S-1WR3,
"Q1, Q10, Q12, Q14, Q15, Q16, Q2, Q3, Q4, Q5, Q6, Q8, Q9",ONSemi_SO-8FL_488AA,13,,C145537
"Q11, Q13, Q7",ONSemi_SO-8FL_488AA,3,,C145537
"R1, R35, R5",603,3,18k,
"R10, R11, R12, R13, R15, R16, R20, R21",603,8,2.2R,
"R14, R17, R24",2512,3,500uOhm,C500733
"R18, R19, R3, R4",603,4,22R,
"R2, R28, R29, R30",603,4,3.3k,
"R22, R23, R25, R8, R9",603,5,120R,
"R26, R36",603,2,1k,
"R27, R31",603,2,5.1k,
"R34, R6",603,2,47K,
R37,603,1,40.2k,
"R38, R40",603,2,10k,
R39,603,1,11.3k,
R7,603,1,220k,
"TP1, TP2, TP3, TP4, TP5",TestPoint_Pad_1.0x1.0mm,5,TESTPOINT,
U1,HTSSOP-56-1EP_6.1x14mm_P0.5mm_EP3.61x6.35mm,1,~,C98969
U2,WSON-8-1EP_4x4mm_P0.8mm_EP2.6x3mm,1,~,C544701
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,~,C495342
U4,SOP-8_6.62x9.15mm_P2.54mm,1,ISO1050DUBR,
U5,SOT-223,1,LDL1117S33R,
U6,SOT-23-5,1,LP5907MFX-3.3_NOPB,
U7,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGT6,
U8,RDN0011A-MFG,1,TPSM365R6FRDNR,
Y1,Crystal_SMD_5032-4Pin_5.0x3.2mm,1,ABM3B-8.000MHZ-10-1-U-T,C1985378
