Designator,Footprint,Quantity,Value,LCSC Part #
C1,1210,1,2.2uF,C840133
"C10, C14, C17, C19, C21, C3, C35, C36, C4, C63, C64, C65, C66, C67, C68, C69, C70, C8",2220,18,22uF,C784103
"C11, C16, C18, C20, C22, C48, C49, C50, C51, C52, C53, C6",603,12,0.1uF,
"C12, C13, C30, C40, C44, C46, C7",603,7,2.2uF,C2859193
C15,2225,1,22uf,C882503
C2,603,1,1uF,
"C23, C24",402,2,4.7uF,
"C25, C34",CP_Elec_10x10.5,2,120uF,C487157
"C26, C27, C28, C47, C54, C57",805,6,4.7uF,C2897302
C29,402,1,10uF,
"C31, C32, C33",402,3,22nF,
"C39, C41, C55, C56",603,4,2200pF,
C42,603,1,0.022µF,
C43,603,1,82pF,
C45,603,1,270pF,
"C5, C9",603,2,10pF,
C58,CP_EIA-6032-28_Kemet-C,1,68uF,C7220
C71,402,1,100nF,
D1,603,1,LTST-C190KGKT,C125094
D3,D_SOD-123F,1,D,C43381
J1,Two-Hole,1,,
J10,Nine-Hole,1,,
J2,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
"J3, J8",Five-Hole,2,,
"J5, J9",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,C124375
J7,Three-Hole,1,,
L1,805,1,6.8uH,C486332
L2,L_Taiyo-Yuden_NR-60xx,1,22uH,C45737
PS2,CONV_B0505XT-1WR3-TR,1,B0505XT-1WR3-TR,C19188495
"Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q5, Q6, Q7, Q8, Q9",ONSemi_SO-8FL_488AA,12,~,C348543
"R1, R7",603,2,5.1k,
"R10, R4",603,2,10k,
"R11, R13",603,2,1k,
"R12, R22, R26",603,3,18K,
"R14, R15, R16, R23",603,4,3.3k,
"R2, R24, R25, R3",603,4,22R,
"R27, R8",603,2,47K,
R28,603,1,220k,
"R29, R30, R6",603,3,120R,
"R31, R32, R33, R34, R36, R37",603,6,2.2R,
"R35, R38",2512,2,500uOhm,C500733
"R39, R40",402,2,22R,
R5,603,1,11.3k,
R9,603,1,40.2k,
"TP1, TP2, TP4, TP5",TestPoint_Pad_1.0x1.0mm,4,TESTPOINT,
U1,SOP-8_6.62x9.15mm_P2.54mm,1,ISO1050DUBR,C16428
U2,RDN0011A-MFG,1,TPSM365R6FRDNR,C6723000
U3,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGT6,C15742
U4,SOT-223,1,LDL1117S33R,C435835
U5,SOT-23-5,1,LP5907MFX-3.3_NOPB,C80670
U8,HTSSOP-56-1EP_6.1x14mm_P0.5mm_EP3.61x6.35mm,1,~,C98969
U9,SOP65P640X120-14N,1,AS5047P-ATSM,C962063
Y1,Crystal_SMD_5032-4Pin_5.0x3.2mm,1,ABM3B-8.000MHZ-10-1-U-T,C1985378
