Designator,Mid X,Mid Y,Rotation,Layer
C1,85.7925,-64.7105,90.0,bottom
C10,61.9165,-84.2685,270.0,bottom
C11,56.0615,-38.8025,0.0,bottom
C12,57.3445,-49.7245,0.0,bottom
C13,66.4885,-43.3745,90.0,bottom
C14,68.0125,-84.2685,270.0,bottom
C15,86.8085,-58.363,90.0,bottom
C16,56.8365,-50.4265,180.0,top
C17,74.1085,-84.2685,270.0,bottom
C18,56.8365,-48.9025,180.0,top
C19,55.8205,-84.2685,270.0,top
C2,91.1265,-71.3145,0.0,bottom
C20,56.8365,-47.3785,180.0,top
C21,55.8205,-84.2685,270.0,bottom
C22,56.8365,-45.9145,180.0,top
C23,91.6345,-66.9965,0.0,top
C24,89.6025,-66.9965,180.0,top
C25,46.1685,-49.9785,90.0,bottom
C26,81.2205,-55.8205,180.0,bottom
C27,77.5985,-55.8205,0.0,bottom
C28,55.5665,-35.5005,270.0,bottom
C29,91.0985,-49.7245,0.0,top
C3,61.9165,-84.2685,270.0,top
C30,56.0745,-43.3745,180.0,top
C31,84.7205,-47.9465,0.0,top
C32,84.7485,-46.4225,0.0,top
C33,84.7765,-44.8985,0.0,top
C34,46.1685,-63.4405,270.0,bottom
C35,51.2485,-48.2005,90.0,top
C36,51.2485,-55.8205,90.0,top
C39,57.3445,-41.3425,0.0,bottom
C4,68.0125,-84.2685,270.0,top
C40,66.2345,-47.9465,0.0,bottom
C41,57.3445,-44.8985,0.0,bottom
C42,66.2345,-46.1685,0.0,bottom
C43,77.6645,-53.7885,180.0,bottom
C44,56.8365,-52.0105,0.0,top
C45,77.6645,-50.2325,180.0,bottom
C46,57.3445,-51.5025,0.0,bottom
C47,57.0905,-66.7425,0.0,bottom
C48,57.0905,-64.7105,0.0,bottom
C49,78.1725,-62.4245,270.0,bottom
C5,77.4105,-39.8185,180.0,bottom
C50,76.8895,-65.2185,180.0,bottom
C51,72.8385,-65.2185,0.0,bottom
C52,57.3445,-55.0585,0.0,bottom
C53,68.0125,-65.2185,0.0,bottom
C54,79.9505,-62.6785,270.0,bottom
C55,60.6465,-65.2185,0.0,bottom
C56,64.2025,-66.9965,180.0,bottom
C57,81.9825,-62.6785,270.0,bottom
C58,79.1885,-58.8685,180.0,bottom
C6,77.4105,-36.7705,0.0,bottom
C63,69.2825,-71.8225,0.0,bottom
C64,80.2045,-84.2685,270.0,top
C65,80.2045,-84.2685,270.0,bottom
C66,44.3905,-46.6765,0.0,top
C67,76.9025,-71.8225,0.0,bottom
C68,44.3905,-52.7725,0.0,top
C69,61.6625,-71.8225,180.0,bottom
C7,91.3805,-60.6465,90.0,bottom
C70,44.3905,-58.8685,0.0,top
C71,63.6945,-58.0785,90.0,bottom
C8,74.1085,-84.2685,270.0,top
C9,77.4105,-38.2945,180.0,bottom
D1,81.9825,-42.1045,180.0,bottom
D3,74.6165,-62.9325,180.0,bottom
J1,43.8825,-75.1245,120.0,top
J10,94.1745,-53.5385,90.0,top
J2,68.1525,-30.9285,180.0,bottom
J3,82.7445,-33.7225,150.0,top
J5,92.1425,-75.8865,210.0,bottom
J7,66.4885,-77.6645,0.0,top
J8,97.7305,-59.5505,90.0,top
J9,90.6185,-41.5965,180.0,bottom
L1,90.6185,-64.9645,180.0,top
L2,86.0465,-70.5525,180.0,bottom
PS2,85.5385,-56.5825,90.0,top
Q10,63.64775,-66.1075,0.0,top
Q11,70.8235,-72.2035,0.0,top
Q12,63.64775,-72.2035,0.0,top
Q13,56.53575,-66.1075,0.0,top
Q14,49.42375,-66.1075,0.0,top
Q15,56.53575,-72.2035,0.0,top
Q16,49.42375,-72.2035,0.0,top
Q5,85.0305,-66.1075,0.0,top
Q6,77.9185,-66.1075,0.0,top
Q7,85.0305,-72.2035,0.0,top
Q8,77.9185,-72.2035,0.0,top
Q9,70.8065,-66.1075,0.0,top
R1,66.7425,-32.1985,0.0,top
R10,90.3645,-69.0285,270.0,bottom
R11,81.9825,-40.5805,180.0,bottom
R12,56.0745,-41.8505,0.0,top
R13,56.0745,-40.3265,180.0,top
R14,87.3165,-49.2165,180.0,top
R15,87.3165,-47.1845,180.0,top
R16,87.3165,-45.1525,180.0,top
R2,80.2045,-38.2945,180.0,top
R22,77.9185,-56.8365,90.0,top
R23,76.3945,-53.7885,90.0,top
R24,57.3445,-43.1205,0.0,bottom
R25,57.3445,-46.6765,0.0,bottom
R26,76.3945,-56.8365,90.0,top
R27,77.6645,-52.0105,180.0,bottom
R28,77.9185,-53.7885,90.0,top
R29,60.6465,-66.9965,180.0,bottom
R3,80.2045,-36.7705,0.0,top
R30,64.2025,-65.2185,0.0,bottom
R31,76.9025,-66.9965,0.0,bottom
R32,72.8385,-66.9965,180.0,bottom
R33,57.3445,-56.8365,180.0,bottom
R34,68.0125,-66.9965,0.0,bottom
R35,54.8045,-76.1405,270.0,bottom
R36,57.3445,-58.6145,180.0,bottom
R37,57.3445,-60.3925,0.0,bottom
R38,43.1205,-66.149,90.0,top
R39,67.2505,-33.4685,180.0,top
R4,71.5685,-45.9145,270.0,bottom
R40,69.2825,-33.4685,0.0,top
R5,82.4905,-66.2345,0.0,bottom
R6,96.9685,-68.0125,90.0,top
R7,69.7905,-32.1985,0.0,top
R8,71.5685,-42.3585,90.0,bottom
R9,91.8885,-69.0285,90.0,bottom
U1,86.0465,-49.7245,90.0,bottom
U2,89.823,-64.6964,180.0,bottom
U3,68.1525,-44.4025,180.0,top
U4,79.9505,-45.6605,270.0,top
U5,59.3765,-35.5005,180.0,bottom
U8,68.1525,-56.7765,180.0,top
U9,68.1525,-59.8085,0.0,bottom
Y1,75.8865,-36.5165,90.0,top
