Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C27, C3, C4, C5, C6, C7, C8, C9",1210,11,10uF, C5156756
"C11, C30, C80, C81, C90, C91, C92, C93",1206,8,1uF,C13832
C12,1210,1,4.7uF,C6120033
"C13, C33, C59, C60, C61, C63, C64, C65, C66, C67",0402,10,10pF,C115606
C14,0402,1,0.1uF, C105883
C15,0402,1,6800pF,C93654
"C16, C17",0805,2,4.7uF,C913498
C18,0402,1,39pF,C147447
C19,0402,1,0.1uF,C77055
"C20, C21, C22, C23, C24, C25, C36, C85",0603,8,1uF,C106858
"C26, C49, C56, C78, C79, C94, C95",0805,7,0.1uF,C28233
C28,0603,1,470pF, C107062
C29,0603,1,10uF,C194427
"C31, C86, C87",0402,3,330pF,C526998
"C32, C37, C43, C44, C45, C46, C50, C53, C55, C57, C58, C70, C73, C75, C77, C88, C89",0603,17,0.1uF,C77055
"C34, C35",0603,2,2.2µF,C77183
"C38, C39",0402,2,18pF,C76701
"C40, C41, C82",0603,3,2.2uF,C77183
C42,0603,1,0.1uF,C14663
C48,CP_Elec_10x10,1,"100uF, 80V", C487410
"C51, C52, C76",0603,3,1uF, C106858
C54,0402,1,470pF,C106207
C62,1812,1,10nF, C574051
"C68, C69",0402,2,0.022uF,C147616
"C72, C74",0805,2,47uF,C178332
D1,0603,1,LTST-C190KGKT,C125094
D2,D_SMC,1,B560C,C85100
D3,SOT-23,1,SM24CANB-02HTG,C2937019
"FB1, FB2, FB3, FB4, FB5",1206,5,"2A, 0.05DCR",C380287
J4,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
J5,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,XT60PW-M,C98732
J6,Molex_PicoBlade_53048-0210_1x02_P1.25mm_Horizontal,1,2 pin Molex Picoblade,C505099
L1,L_Sunlord_MWSA0603S,1,8.2uH,C408450
"Q1, Q10, Q11, Q12, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",ONSemi_SO-8FL_488AA,12,~,C348543
R1,0603,1,162K, C227450
"R10, R19",0402,2,22R,C107701
"R11, R12, R13, R14",0402,4,5.1K, C105872
"R15, R16, R17, R18, R20, R21",0603,6,2.2R,C112307
R2,0603,1,523K,C23076
R23,0603,1,18K, C98220
"R24, R5",0603,2,1k,C22548
R25,0402,1,1M, C279988
R3,0603,1,84.5k,C706195
"R33, R9",0402,2,0,C106231
R35,0402,1,4.7k, C105871
R36,0402,1,12.1K, C281773
"R37, R8",0402,2,2k,C144035 
R38,0603,1,53.6K,C177851
R39,0402,1,10.2K,C321256
R4,0402,1,13K,C310197
"R41, R42, R48, R49, R53",0603,5,22R,C107701
"R44, R47",0603,2,5.1k, C706184
R50,0603,1,3.3k, C108078
R54,0402,1,120R,C114640
R6,2512,1,500uOhm,C500733 
R7,0603,1,47K,C105579
"RN1, RN2",R_Array_Convex_4x0402,2,49R9, C136850
SW1,SW_EVP-AA102K_PAN,1,EVP-AA202K,C79147
TH1,0402,1,10k,C77131
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGT6,C15742
U2,TI_SO-PowerPAD-8_ThermalVias,1,TPS54360DDAR,C524806
U3,SOT-223,1,LDL1117S33R,C435835
U4,QFN64_ML_MCH,1,LAN9252I/ML,C2758355
U5,SOP65P640X120-14N,1,AS5047P-ATSM,C962063
U6,WQFN36_REE_TEX,1,MCF8329A1IREER,C22399784
U7,SOP-8_3.9x4.9mm_P1.27mm,1,24FC512-I/SN,C615159
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD231,C129257
Y1,Crystal_SMD_5032-4Pin_5.0x3.2mm,1,ABM3B-8.000MHZ-10-1-U-T, C276420
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-25.000MHZ-D2Y-T,C179643
