Designator,Mid X,Mid Y,Rotation,Layer
C1,140.4,-113.5,90.0,top
C11,149.3,-103.0,180.0,top
C12,161.2,-80.8,270.0,bottom
C13,147.0,-71.4,270.0,bottom
C14,164.6,-79.8,0.0,bottom
C15,178.0,-75.8,90.0,bottom
C16,156.2,-70.2,90.0,top
C17,167.2,-72.6,90.0,top
C18,174.8,-75.8,90.0,bottom
C19,145.5,-99.0,90.0,bottom
C2,143.6,-113.5,90.0,top
C20,156.2,-108.8,270.0,bottom
C21,163.8,-96.4,0.0,bottom
C22,164.8,-101.8,0.0,bottom
C23,165.0,-107.0,180.0,bottom
C24,152.6,-103.6,180.0,bottom
C25,154.8,-100.0,270.0,bottom
C26,157.25,-98.0,180.0,bottom
C27,157.8,-95.2,180.0,bottom
C28,158.0,-99.8,180.0,bottom
C29,160.8,-98.0,0.0,bottom
C3,146.8,-113.5,90.0,top
C31,125.35,-114.75,90.0,top
C32,152.6,-75.2,180.0,bottom
C33,153.8,-73.28,90.0,bottom
C34,161.0,-86.0,180.0,bottom
C35,147.8,-91.8,270.0,bottom
C36,143.4,-68.8,270.0,bottom
C37,155.775,-75.2,180.0,bottom
C38,126.0,-82.4,270.0,bottom
C39,130.6,-80.2,90.0,bottom
C40,155.2,-80.6,180.0,top
C41,160.975,-67.6,0.0,top
C42,145.4,-102.0,270.0,bottom
C43,160.975,-87.6,180.0,bottom
C44,146.4,-88.8,0.0,bottom
C45,146.2,-76.8,0.0,bottom
C46,158.4,-76.6,90.0,bottom
C47,136.2,-127.0,90.0,top
C48,163.8,-126.5,270.0,top
C49,158.4,-117.0,0.0,top
C5,149.3,-109.2,180.0,top
C50,141.8,-68.8,270.0,bottom
C51,142.6,-73.975,90.0,bottom
C52,131.8,-89.0,90.0,bottom
C53,137.4,-79.975,270.0,top
C54,138.8,-68.28,270.0,bottom
C55,141.0,-73.975,90.0,bottom
C56,149.9,-100.8,180.0,top
C57,133.4,-89.0,90.0,bottom
C58,140.2,-68.775,270.0,bottom
C59,139.2,-98.4,90.0,bottom
C6,149.3,-105.8,180.0,top
C60,130.8,-103.8,270.0,bottom
C61,138.2,-98.4,90.0,bottom
C62,120.6,-86.2,90.0,bottom
C63,130.8,-101.2,270.0,bottom
C64,137.2,-94.8,90.0,bottom
C65,137.6,-101.8,90.0,bottom
C66,137.2,-98.4,90.0,bottom
C67,137.6,-103.8,90.0,bottom
C68,138.4,-93.0,0.0,top
C69,138.6,-107.6,0.0,top
C7,149.3,-98.2,180.0,top
C70,141.0,-75.375,90.0,top
C72,170.8,-72.55,90.0,bottom
C73,142.6,-75.375,90.0,top
C74,168.6,-72.55,90.0,bottom
C75,139.0,-65.8,180.0,top
C76,148.8,-73.2,270.0,top
C77,147.2,-73.2,270.0,top
C78,149.9,-93.2,180.0,top
